timestamp,signal,close,position,action,exec_price,fee,order_id,stop_loss,take_profit,best_factor,equity,mode
2025-11-01 22:50:50.101258,-1,109822.4,0,,,,,164733.59999999998,,2.5,5000.0,BINANCE-USDM-TEST
2025-11-01 22:55:19.875906,-1,109841.3,0,,,,,164761.95,,3.0,5000.0,BINANCE-USDM-TEST
2025-11-01 22:59:42.351225,-1,109866.2,0,open_short_0.01,109822.4,0.0,115176294,164799.3,,3.0,5000.0,BINANCE-USDM-TEST
2025-11-01 23:01:08.446021,-1,109866.5,0,open_short_0.01,109822.4,0.0,115181100,164799.75,,2.5,4998.39432075,BINANCE-USDM-TEST
2025-11-02 11:33:33.036785,-1,109970.0,0,,,,,164955.0,,2.5,0.0,BINANCE-USDM
2025-11-02 11:51:53.873706,-1,109905.0,0,open_short_0.01,109904.9,0.0,31511050920,164857.5,,2.5,554.52261493,BINANCE-USDM
2025-11-02 11:55:02.038171,-1,109957.3,0,open_short_0.01,109957.2,0.0,31511203735,164935.95,,2.5,553.36477985,BINANCE-USDM
2025-11-02 12:00:01.673025,-1,110000.0,0,open_short_0.01,109992.0,0.0,31511495904,165000.0,,2.5,551.80861187,BINANCE-USDM
2025-11-02 12:03:35.059373,-1,109998.5,0,open_short_0.01,109991.0,0.0,31511694479,164997.75,,3.5,550.77228679,BINANCE-USDM
2025-11-02 12:05:01.369980,-1,109973.5,0,open_short_0.01,109975.1,0.0,31511780002,164960.25,,3.5,550.64481154,BINANCE-USDM
2025-11-02 12:12:07.278928,-1,110090.1,0,open_short_0.01,110057.4,0.0,31512193778,165135.15000000002,,3.5,549.71951642,BINANCE-USDM
2025-11-02 12:15:02.631012,-1,110067.5,0,open_short_0.01,110063.0,0.0,31512393981,165101.25,,3.5,549.35985857,BINANCE-USDM
2025-11-02 12:23:42.537856,-1,110078.6,-1,open_short_0.01,110078.5,0.0,31512877961,165117.90000000002,,2.0,548.9129653,BINANCE-USDM
2025-11-02 12:25:01.568590,-1,110075.0,-1,,,,,165112.5,,2.0,548.64268664,BINANCE-USDM
2025-11-07 01:57:57.058493,-1,101637.4,-1,close_long_0.01|open_short_0.01,101636.8,0.0,144000280|144000286,152456.09999999998,,1.5,4982.10951874,BINANCE-USDM-TEST
2025-11-07 01:59:19.953746,-1,101723.0,-1,open_short_0.01,101721.3,0.0,144001722,152584.5,,1.5,4980.17814965,BINANCE-USDM-TEST
2025-11-07 02:00:01.586506,-1,101724.2,-1,,,,,152586.3,,1.5,4979.892571990001,BINANCE-USDM-TEST
2025-11-07 02:05:02.245700,-1,101442.6,-1,,,,,152163.90000000002,,1.5,4985.581403800001,BINANCE-USDM-TEST
2025-11-07 02:10:01.384526,-1,101253.5,-1,,,,,151880.25,,1.5,4989.3734038,BINANCE-USDM-TEST
2025-11-07 02:15:02.344770,-1,101311.0,-1,,,,,151966.5,,1.5,4988.1454038,BINANCE-USDM-TEST
2025-11-07 02:20:03.093766,-1,100939.0,-1,,,,,151408.5,,1.5,4995.4534038,BINANCE-USDM-TEST
2025-11-07 02:25:01.746678,-1,101212.0,-1,,,,,151818.0,,1.5,4989.89756571,BINANCE-USDM-TEST
2025-11-07 02:30:02.483122,-1,101298.7,-1,,,,,151948.05,,1.5,4988.75927625,BINANCE-USDM-TEST
2025-11-07 02:35:01.636030,-1,101452.6,-1,,,,,152178.90000000002,,1.5,4984.5918637899995,BINANCE-USDM-TEST
2025-11-07 02:40:02.202918,-1,101694.5,-1,,,,,152541.75,,1.5,4980.43613936,BINANCE-USDM-TEST
2025-11-07 02:45:01.533609,-1,101613.5,-1,,,,,152420.25,,1.5,4982.1754038,BINANCE-USDM-TEST
2025-11-07 02:50:02.040074,-1,102228.6,-1,,,,,153342.90000000002,,1.5,4969.91420424,BINANCE-USDM-TEST
2025-11-07 02:55:01.126661,-1,101965.4,-1,,,,,152948.09999999998,,1.5,4974.87859652,BINANCE-USDM-TEST
2025-11-07 03:00:01.769755,-1,101667.4,-1,,,,,152501.09999999998,,1.5,4981.0854038,BINANCE-USDM-TEST
2025-11-07 03:05:02.279671,-1,101630.4,-1,,,,,152445.59999999998,,1.5,4981.8574038,BINANCE-USDM-TEST
2025-11-07 03:10:01.407874,-1,101769.9,-1,,,,,152654.84999999998,,1.5,4978.635403800001,BINANCE-USDM-TEST
2025-11-07 03:15:01.898676,-1,101878.7,-1,,,,,152818.05,,1.5,4976.485403799999,BINANCE-USDM-TEST
2025-11-07 03:20:01.741551,-1,101801.1,-1,,,,,152701.65000000002,,1.5,4977.7974038,BINANCE-USDM-TEST
